2.87	1.61	128	22.17	0.83	84	21.23
3.63	3.7	148	22.22	2.35	111	22.4
3.95	3.59	169	22.94	2.79	149	23.43
3.31	3.35	183	23.39	3.04	155	24.33
2.97	3.15	202	24	2.55	149	25.28
2.92	2.89	198	24.5	2.69	150	26.04
2.87	2.56	213	25.22	2.22	186	26.6
2.16	3.46	172	25.11	2.32	152	26.86
2.84	3.48	166	25.17	3.3	133	26.29
2.82	3.62	171	24.94	3.13	127	26.04
4.31	5.14	163	22.94	4.25	127	23.93
6.65	7.45	166	20.78	6.66	141	22.06
8.05	9.64	169	19	8.52	144	19.73
9.95	11.03	175	17.94	8.81	150	18.54
10.6	11.32	183	18.17	9	158	17.27
9.95	11.82	183	17.56	9.87	154	16.67
9.99	11.22	181	16.44	10.45	153	16.34
9.18	10.96	189	16.22	9.46	163	15.83
8.98	11.5	193	16	9	167	16.1
9.23	10.33	198	16.5	8.1	168	16.1
10.24	12.86	205	16.11	4.84	207	16.06
11.96	12.76	209	16.83	10.1	176	16.15
3.52	12.15	206	17.44	9.76	179	17.5
6.78	11.07	207	18.67	10.61	181	19.07
10.06	11.77	215	22	11.38	192	22.6
10.98	12.53	224	23.39	12.35	196	25.03
13	10.88	229	23.78	11.47	200	25.93
11.79	9.31	232	24.78	9.18	199	26.39
8.8	7.92	231	26.28	7.76	208	27.57
7.99	5.86	240	27.22	6.24	207	28.97
6.54	5.58	243	28.72	5.38	211	30.49
5.08	4.31	251	29.44	3.57	232	31.28
4.01	4.17	260	29.61	3.08	217	31.34
4.59	4.89	263	27.89	3.43	226	30.59
4.79	4.58	269	27.39	3.5	233	29.38
5.3	5.26	279	26.5	4.31	243	27.37
4.5	4.41	286	26.44	3.14	249	25.38
3.98	4.47	292	25.94	3.05	239	26.44
3.72	4.27	301	25.56	2.91	266	23.93
4.34	5.53	329	24.28	4.11	294	22.07
2.88	4.07	45	24.56	3.52	190	20.31
2.44	4.28	57	23.89	2.5	190	21.14
6.05	8.41	45	20.22	2.69	261	20.71
8.51	8.58	82	19.94	6	29	20.31
8.14	8.46	80	19.28	7.58	67	20.02
7.55	9.81	71	18.89	7.39	75	19.73
7.43	7.5	78	18.44	6.6	85	19.63
5.66	4.68	42	18.61	5.72	16	19.82
7.22	6.63	68	19.83	6.41	37	20.16
7.48	6.94	75	20.78	4.07	33	21.62
5.68	7.28	91	20.5	6.63	63	24.53
5.49	6.58	72	22.5	6.64	78	24.92
6.58	6.43	71	24.61	4.25	30	25.48
7.4	6.43	72	25.44	4.84	48	26.86
7.13	6.41	67	26.17	4.12	41	27.78
5.98	5.44	72	26.44	3.93	45	27.72
5.64	5.38	76	26.39	3.72	61	27.32
5.56	5.25	71	25.61	4.79	69	26.91
6.03	6.36	70	23.83	5.49	68	25.48
7.91	7.34	83	22	5.91	51	23.43
8.93	7.59	88	21.06	6.38	49	22.2
8.17	8.52	89	20.11	7.34	53	20.69
7.36	9.63	100	19.5	6.67	58	19.73
7.06	10.15	109	18.78	7.79	79	18.83
6.55	10.17	108	18.28	7.76	90	18.02
6.55	9.12	122	18.22	7.42	99	17.13
4.75	2.93	195	18.67	3.89	14	16.66
1.53	5.04	119	18.61	4.23	76	16.89
4.42	6.6	119	16.61	4.45	75	16.66
5.16	6.16	145	17.72	4.12	85	17.18
3.37	7.07	135	16.89	5.88	106	16.61
3.49	6.97	133	17.78	5.62	111	18.54
3.59	6.12	139	20.11	4.82	114	21.52
4.51	6.82	158	22.72	4.74	127	23.24
5.06	7	168	24.06	5.04	142	24.88
5.76	7.07	176	25.06	5.64	145	26.19
6.68	7.64	173	25.94	6.7	148	26.91
7.2	8.69	171	26.78	7.58	146	27.37
7.39	8.78	175	27.28	7.55	146	28.14
8.08	9.54	168	27.28	7.62	151	28.19
9.32	9.67	168	27.28	8.23	141	28.08
8.24	8.87	164	25.94	7.44	136	27.16
8.03	9.33	160	23.44	7.45	134	24.98
9.53	10.53	161	21.78	8.84	137	23.13
9.33	11.5	165	20.83	9.29	143	22.3
9.38	11.27	171	20.44	10.24	149	22.01
10.5	11.11	174	20.89	10	152	22.16
10.56	10.71	178	20.61	9.29	154	21.96
10	9.68	187	20.28	9.11	156	21.04
8	9.08	196	19.61	7.62	174	20.5
7.94	9.64	193	19	8.06	166	19.92
